Week of,Cushing OK Crude Oil Future Contract 1 $/bbl
04/27/2012,104.05
04/20/2012,103.02
04/13/2012,102.53
04/6/2012,103.51
03/30/2012,105.11
03/23/2012,106.64
03/16/2012,106.13
03/9/2012,106.31
03/2/2012,107.54
02/24/2012,107.43
02/17/2012,101.8
02/10/2012,98.51
02/3/2012,97.81
01/27/2012,99.44
01/20/2012,100.04
01/13/2012,100.44
01/6/2012,102.39
12/30/2011,99.8
12/23/2011,97.8
12/16/2011,96.05
12/9/2011,100.1
12/2/2011,99.9
11/25/2011,96.97
11/18/2011,99.27
11/11/2011,96.97
11/4/2011,93.24
10/28/2011,92.38
10/21/2011,86.71
10/14/2011,85.56
10/7/2011,79.71
09/30/2011,81.45
09/23/2011,83.77
09/16/2011,88.93
09/9/2011,87.91
09/2/2011,88.07
08/26/2011,85.08
08/19/2011,85.35
08/12/2011,82.92
08/5/2011,90.82
07/29/2011,97.87
07/22/2011,98.11
07/15/2011,96.71
07/8/2011,97.1
07/1/2011,93.73
06/24/2011,92.85
06/17/2011,95.89
06/10/2011,100.01
06/3/2011,100.9
05/27/2011,99.89
05/20/2011,98.46
05/13/2011,100.65
05/6/2011,106.16
04/29/2011,112.81
04/22/2011,109.75
04/15/2011,108.21
04/8/2011,109.75
04/1/2011,105.54
03/25/2011,104.62
03/18/2011,99.77
03/11/2011,103.74
03/4/2011,101.03
02/25/2011,96.71
02/18/2011,85.34
02/11/2011,86.69
02/4/2011,90.68
01/28/2011,87.27
01/21/2011,90.05
01/14/2011,91.03
01/7/2011,89.53
12/31/2010,90.97
12/24/2010,90.16
12/17/2010,88.25
12/10/2010,88.5
12/3/2010,86.76
11/26/2010,82.65
11/19/2010,82.2
11/12/2010,86.86
11/5/2010,84.98
10/29/2010,82.12
10/22/2010,81.32
10/15/2010,82.06
10/8/2010,82.37
10/1/2010,78.42
09/24/2010,74.95
09/17/2010,75.65
09/10/2010,74.87
09/3/2010,74.03
08/27/2010,73.16
08/20/2010,74.86
08/13/2010,78.18
08/6/2010,81.81
07/30/2010,78.16
07/23/2010,77.76
07/16/2010,76.35
07/9/2010,74.4
07/2/2010,74.98
06/25/2010,77.35
06/18/2010,76.74
06/11/2010,73.41
06/4/2010,72.89
05/28/2010,71.8
05/21/2010,69.48
05/14/2010,74.97
05/7/2010,80.22
04/30/2010,84.24
04/23/2010,83.48
04/16/2010,84.6
04/9/2010,85.93
04/2/2010,83.29
03/26/2010,80.86
03/19/2010,81.46
03/12/2010,81.76
03/5/2010,80.19
02/26/2010,79.37
02/19/2010,78.3
02/12/2010,73.91
02/5/2010,74.59
01/29/2010,74.03
01/22/2010,76.82
01/15/2010,80.07
01/8/2010,82.37
01/1/2010,79.07
12/25/2009,75.4
12/18/2009,71.77
12/11/2009,71.53
12/4/2009,76.84
11/27/2009,76.9
11/20/2009,78.36
11/13/2009,78.21
11/6/2009,79.04
10/30/2009,78.51
10/23/2009,80.35
10/16/2009,75.74
10/9/2009,70.86
10/2/2009,68.99
09/25/2009,68.43
09/18/2009,71.36
09/11/2009,70.91
09/4/2009,68.41
08/28/2009,72.62
08/21/2009,70.96
08/14/2009,69.65
08/7/2009,71.57
07/31/2009,67.07
07/24/2009,65.86
07/17/2009,61.27
07/10/2009,61.48
07/3/2009,69.36
06/26/2009,68.85
06/19/2009,70.61
06/12/2009,70.83
06/5/2009,68.1
05/29/2009,64.32
05/22/2009,60.69
05/15/2009,58.07
05/8/2009,56
05/1/2009,51.07
04/24/2009,48.48
04/17/2009,49.8
04/10/2009,50.46
04/3/2009,50.32
03/27/2009,53.45
03/20/2009,49.46
03/13/2009,45.68
03/6/2009,43.26
02/27/2009,42.18
02/20/2009,36.99
02/13/2009,36.91
02/6/2009,40.5
01/30/2009,42.52
01/23/2009,43.11
01/16/2009,36.91
01/9/2009,44.51
01/2/2009,42.5
12/26/2008,37.99
12/19/2008,39.65
12/12/2008,44.71
12/5/2008,45.5
11/28/2008,53.54
11/21/2008,52.5
11/14/2008,58.64
11/7/2008,64.31
10/31/2008,65.44
10/24/2008,68.78
10/17/2008,75.21
10/10/2008,86.22
10/3/2008,96.68
09/26/2008,109.63
09/19/2008,97.29
09/12/2008,102.85
09/5/2008,108.3
08/29/2008,116.12
08/22/2008,115.63
08/15/2008,114.45
08/8/2008,118.88
08/1/2008,124.57
07/25/2008,126.44
07/18/2008,135.34
07/11/2008,140.04
07/4/2008,142.46
06/27/2008,137.63
06/20/2008,134.37
06/13/2008,134.73
06/6/2008,128.14
05/30/2008,128.46
05/23/2008,130.46
05/16/2008,124.93
05/9/2008,123
05/2/2008,115.34
04/25/2008,117.95
04/18/2008,114.41
04/11/2008,109.74
04/4/2008,103.49
03/28/2008,104.24
03/21/2008,105.36
03/14/2008,109.42
03/7/2008,103.42
02/29/2008,100.84
02/22/2008,99.45
02/15/2008,94.12
02/8/2008,89.09
02/1/2008,91.13
01/25/2008,89.24
01/18/2008,91.53
01/11/2008,94.7
01/4/2008,98.17
12/28/2007,95.68
12/21/2007,91.35
12/14/2007,91.16
12/7/2007,88.73
11/30/2007,92.49
11/23/2007,97.04
11/16/2007,93.68
11/9/2007,95.77
11/2/2007,93.57
10/26/2007,88.45
10/19/2007,87.84
10/12/2007,81.47
10/5/2007,80.58
09/28/2007,81.06
09/21/2007,81.79
09/14/2007,78.96
09/7/2007,75.95
08/31/2007,72.92
08/24/2007,70.15
08/17/2007,72.06
08/10/2007,71.94
08/3/2007,76.78
07/27/2007,75.26
07/20/2007,74.94
07/13/2007,72.8
07/6/2007,71.78
06/29/2007,69.23
06/22/2007,68.83
06/15/2007,66.65
06/8/2007,65.89
06/1/2007,63.93
05/25/2007,65.28
05/18/2007,63.6
05/11/2007,61.89
05/4/2007,63.78
04/27/2007,65.57
04/20/2007,63.01
04/13/2007,62.58
04/6/2007,64.81
03/30/2007,64.36
03/23/2007,59.38
03/16/2007,57.93
03/9/2007,60.85
03/2/2007,61.66
02/23/2007,60.06
02/16/2007,58.45
02/9/2007,58.99
02/2/2007,57.09
01/26/2007,54.24
01/19/2007,51.48
01/12/2007,54.12
01/5/2007,56.74
12/29/2006,60.76
12/22/2006,62.83
12/15/2006,61.91
12/8/2006,62.32
12/1/2006,62.07
11/24/2006,59.4
11/17/2006,57.54
11/10/2006,59.91
11/3/2006,58.56
10/27/2006,60.13
10/20/2006,58.37
10/13/2006,58.5
10/6/2006,59.78
09/29/2006,62.22
09/22/2006,61.61
09/15/2006,63.98
09/8/2006,67.42
09/1/2006,69.96
08/25/2006,72.34
08/18/2006,71.93
08/11/2006,75.6
08/4/2006,75.07
07/28/2006,74.1
07/21/2006,73.8
07/14/2006,75.29
07/7/2006,74.81
06/30/2006,72.67
06/23/2006,69.99
06/16/2006,69.49
06/9/2006,71.58
06/2/2006,71.5
05/26/2006,70.71
05/19/2006,69.12
05/12/2006,71.59
05/5/2006,72.14
04/28/2006,72.2
04/21/2006,72.21
04/14/2006,68.92
04/7/2006,67.07
03/31/2006,66.09
03/24/2006,62.19
03/17/2006,62.68
03/10/2006,60.89
03/3/2006,62.28
02/24/2006,61.39
02/17/2006,59.36
