Week of,Natural Gas Futures Contract 1 $/MMBTU
05/21/2021,2.983
05/14/2021,2.958
05/7/2021,2.951
04/30/2021,2.886
04/23/2021,2.729
04/16/2021,2.627
04/9/2021,2.507
04/2/2021,2.614
03/26/2021,2.547
03/19/2021,2.518
03/12/2021,2.657
03/5/2021,2.776
02/26/2021,2.847
02/19/2021,3.125
02/12/2021,2.882
02/5/2021,2.856
01/29/2021,2.649
01/22/2021,2.506
01/15/2021,2.726
01/8/2021,2.686
01/1/2021,2.433
12/25/2020,2.653
12/18/2020,2.675
12/11/2020,2.478
12/4/2020,2.725
11/27/2020,2.794
11/20/2020,2.669
11/13/2020,2.962
11/6/2020,3.036
10/30/2020,3.139
10/23/2020,2.942
10/16/2020,2.784
10/9/2020,2.622
10/2/2020,2.431
09/25/2020,2.036
09/18/2020,2.206
09/11/2020,2.35
09/4/2020,2.544
08/28/2020,2.54
08/21/2020,2.396
08/14/2020,2.203
08/7/2020,2.178
07/31/2020,1.803
07/24/2020,1.718
07/17/2020,1.741
07/10/2020,1.823
07/3/2020,1.72
06/26/2020,1.575
06/19/2020,1.646
06/12/2020,1.776
06/5/2020,1.795
05/29/2020,1.798
05/22/2020,1.765
05/15/2020,1.698
05/8/2020,1.958
05/1/2020,1.864
04/24/2020,1.849
04/17/2020,1.682
04/10/2020,1.766
04/3/2020,1.618
03/27/2020,1.638
03/20/2020,1.681
03/13/2020,1.86
03/6/2020,1.773
02/28/2020,1.786
02/21/2020,1.92
02/14/2020,1.812
02/7/2020,1.854
01/31/2020,1.877
01/24/2020,1.924
01/17/2020,2.114
01/10/2020,2.161
01/3/2020,2.163
12/27/2019,2.202
12/20/2019,2.309
12/13/2019,2.273
12/6/2019,2.386
11/29/2019,2.457
11/22/2019,2.573
11/15/2019,2.639
11/8/2019,2.811
11/1/2019,2.616
10/25/2019,2.282
10/18/2019,2.312
10/11/2019,2.251
10/4/2019,2.308
09/27/2019,2.473
09/20/2019,2.612
09/13/2019,2.581
09/6/2019,2.404
08/30/2019,2.253
08/23/2019,2.182
08/16/2019,2.165
08/9/2019,2.102
08/2/2019,2.167
07/26/2019,2.249
07/19/2019,2.311
07/12/2019,2.428
07/5/2019,2.301
06/28/2019,2.307
06/21/2019,2.272
06/14/2019,2.371
06/7/2019,2.372
05/31/2019,2.563
05/24/2019,2.601
05/17/2019,2.63
05/10/2019,2.577
05/3/2019,2.589
04/26/2019,2.504
04/19/2019,2.532
04/12/2019,2.686
04/5/2019,2.675
03/29/2019,2.716
03/22/2019,2.824
03/15/2019,2.805
03/8/2019,2.863
03/1/2019,2.832
02/22/2019,2.667
02/15/2019,2.621
02/8/2019,2.624
02/1/2019,2.853
01/25/2019,3.156
01/18/2019,3.474
01/11/2019,2.993
01/4/2019,2.965
12/28/2018,3.484
12/21/2018,3.698
12/14/2018,4.208
12/7/2018,4.416
11/30/2018,4.497
11/23/2018,4.487
11/16/2018,4.207
11/9/2018,3.588
11/2/2018,3.231
10/26/2018,3.181
10/19/2018,3.25
10/12/2018,3.24
10/5/2018,3.16
09/28/2018,3.041
09/21/2018,2.922
09/14/2018,2.809
09/7/2018,2.816
08/31/2018,2.883
