iter	Passed	Remaining
890	7422	908
891	7428	899
892	7438	891
893	7445	882
894	7454	874
895	7462	866
896	7471	857
897	7477	849
898	7487	841
899	7495	832
900	7510	825
901	7526	817
902	7535	809
903	7540	800
904	7547	792
905	7554	783
906	7559	775
907	7567	766
908	7574	758
909	7583	750
910	7590	741
911	7596	733
912	7604	724
913	7610	716
914	7617	707
915	7622	699
916	7630	690
917	7637	682
918	7643	673
919	7651	665
920	7657	656
921	7663	648
922	7670	639
923	7677	631
924	7685	623
925	7691	614
926	7697	606
927	7702	597
928	7708	589
929	7716	580
930	7722	572
931	7730	564
932	7737	555
933	7743	547
934	7749	538
935	7755	530
936	7762	521
937	7767	513
938	7775	505
939	7782	496
940	7788	488
941	7794	479
942	7800	471
943	7806	463
944	7813	454
945	7820	446
946	7827	438
947	7833	429
948	7839	421
949	7844	412
950	7850	404
951	7857	396
952	7864	387
953	7871	379
954	7878	371
955	7884	362
956	7892	354
957	7898	346
958	7905	337
959	7911	329
960	7917	321
961	7923	313
962	7929	304
963	7935	296
964	7942	288
965	7948	279
966	7956	271
967	7963	263
968	7969	254
969	7975	246
970	7982	238
971	7989	230
972	7995	221
973	8001	213
974	8009	205
975	8015	197
976	8021	188
977	8027	180
978	8033	172
979	8040	164
980	8047	155
981	8054	147
982	8059	139
983	8066	131
984	8073	122
985	8078	114
986	8085	106
987	8092	98
988	8098	90
989	8104	81
990	8111	73
991	8121	65
992	8127	57
993	8134	49
994	8140	40
995	8146	32
996	8154	24
997	8160	16
998	8166	8
999	8172	0
