DATE,DTWEXBGS
2013-05-03,91.5174400000000000
2013-05-10,91.5799800000000000
2013-05-17,92.6463600000000000
2013-05-24,93.1601200000000000
2013-05-31,93.5364500000000000
2013-06-07,93.0318600000000000
2013-06-14,92.5567200000000000
2013-06-21,93.1802400000000000
2013-06-28,94.3656400000000000
2013-07-05,94.5113750000000000
2013-07-12,94.5307000000000000
2013-07-19,93.6405600000000000
2013-07-26,93.2313000000000000
2013-08-02,93.5020600000000000
2013-08-09,93.1559600000000000
2013-08-16,93.3414400000000000
2013-08-23,93.8958200000000000
2013-08-30,94.4770600000000000
2013-09-06,94.6672750000000000
2013-09-13,93.7814000000000000
2013-09-20,92.9561200000000000
2013-09-27,92.8267800000000000
2013-10-04,92.8074400000000000
2013-10-11,92.8446200000000000
2013-10-18,92.3674000000000000
